# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jun  3 21:14:07 2021
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
#
pl_name,default_flag,discoverymethod,disc_year,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj
7 CMa c,1,Radial Velocity,2019,996.00000000,,,276.51210,0.87000
70 Vir b,1,Radial Velocity,1996,116.68800000,,,2357.02728,7.41600
75 Cet b,1,Radial Velocity,2012,691.90000000,,,953.49000,3.00000
8 UMi b,1,Radial Velocity,2015,93.40000000,,,416.35730,1.31000
81 Cet b,1,Radial Velocity,2008,952.70000000,,,1684.40000,5.30000
91 Aqr b,1,Radial Velocity,2013,181.40000000,,,1017.00000,3.20000
AB Pic b,1,Imaging,2005,,,,4290.50000,13.50000
AU Mic b,1,Transit,2020,8.46321000,4.203,0.375,57.20940,0.18000
BD+03 2562 b,1,Radial Velocity,2017,481.90000000,,,2034.11200,6.40000
BD+14 4559 b,1,Radial Velocity,2009,268.94000000,,,330.54320,1.04000
BD+15 2375 b,1,Radial Velocity,2016,153.22000000,,,337.21763,1.06100
BD+15 2940 b,1,Radial Velocity,2013,137.48000000,,,352.78000,1.11000
BD+20 2457 b,1,Radial Velocity,2009,379.63000000,,,17668.16970,55.59000
BD+20 2457 c,1,Radial Velocity,2009,621.99000000,,,3963.17000,12.47000
BD+20 274 b,1,Radial Velocity,2012,578.20000000,,,1334.88600,4.20000
BD+20 594 b,1,Transit,2016,41.68550000,2.578,0.230,22.24810,0.07000
BD+45 564 b,1,Radial Velocity,2021,307.88000000,,,432.24663,1.36000
BD+48 738 b,1,Radial Velocity,2011,392.60000000,,,289.22530,0.91000
BD+48 740 b,1,Radial Velocity,2018,733.00000000,,,540.31100,1.70000
BD+49 828 b,1,Radial Velocity,2015,2590.00000000,,,508.50000,1.60000
BD+55 362 b,1,Radial Velocity,2021,265.59000000,,,228.83645,0.72000
BD+63 1405 b,1,Radial Velocity,2021,1198.48000000,,,1258.60049,3.96000
BD-00 4475 b,1,Radial Velocity,2021,723.20000000,,,7961.60160,25.05000
BD-06 1339 b,1,Radial Velocity,2013,3.87280000,,,8.50000,0.02700
BD-06 1339 c,1,Radial Velocity,2013,125.94000000,,,53.00000,0.17000
BD-08 2823 b,1,Radial Velocity,2009,5.60000000,,,12.71320,0.04000
BD-08 2823 c,1,Radial Velocity,2009,237.60000000,,,104.00000,0.33000
BD-10 3166 b,1,Radial Velocity,2000,3.48777000,,,187.51970,0.59000
BD-11 4672 b,1,Radial Velocity,2014,1634.00000000,,,206.58950,0.65000
BD-11 4672 c,1,Radial Velocity,2020,74.20000000,,,15.37000,0.04836
BD-13 2130 b,1,Radial Velocity,2007,714.29999000,,,3108.37740,9.78000
BD-17 63 b,1,Radial Velocity,2008,655.60000000,,,1620.90000,5.10000
CFBDSIR J145829+101343 b,1,Imaging,2011,10037.50000000,,,3337.10000,10.50000
CFHTWIR-Oph 98 b,1,Imaging,2021,8040000.00000000,20.849,1.860,2479.06157,7.80000
CHXR 73 b,1,Imaging,2006,,,,3994.48600,12.56900
CI Tau b,1,Radial Velocity,2019,8.98910000,,,3686.82800,11.60000
CT Cha b,1,Imaging,2007,,24.660,2.200,5403.00000,17.00000
CoRoT-1 b,1,Transit,2008,1.50895570,16.700,1.490,327.35000,1.03000
CoRoT-10 b,1,Transit,2010,13.24060000,10.870,0.970,874.00000,2.75000
CoRoT-11 b,1,Transit,2010,2.99433000,16.030,1.430,740.51000,2.33000
CoRoT-12 b,1,Transit,2010,2.82804200,16.140,1.440,291.43800,0.91700
CoRoT-13 b,1,Transit,2010,4.03519000,9.920,0.885,415.70400,1.30800
CoRoT-14 b,1,Transit,2010,1.51214000,12.220,1.090,2415.40000,7.60000
CoRoT-16 b,1,Transit,2011,5.35227000,13.110,1.170,170.03200,0.53500
CoRoT-17 b,1,Transit,2011,3.76810000,11.430,1.020,772.29000,2.43000
CoRoT-18 b,1,Transit,2011,1.90006930,14.680,1.310,1102.82000,3.47000
CoRoT-19 b,1,Transit,2011,3.89713000,14.460,1.290,352.78000,1.11000
CoRoT-2 b,1,Transit,2008,1.74299350,16.432,1.466,1102.82000,3.47000
CoRoT-20 b,1,Transit,2011,9.24285000,,,1366.66900,4.30000
CoRoT-20 c,1,Radial Velocity,2018,1675.00000000,,,5403.11000,17.00000
CoRoT-21 b,1,Transit,2012,2.72474000,14.572,1.300,718.29580,2.26000
CoRoT-22 b,1,Transit,2014,9.75598000,4.880,0.435,12.20000,0.03800
CoRoT-23 b,1,Transit,2011,3.63130000,11.770,1.050,889.90000,2.80000
CoRoT-24 b,1,Transit,2014,5.11340000,3.700,0.330,5.70000,0.01800
CoRoT-24 c,1,Transit,2014,11.75900000,5.000,0.440,28.00000,0.08800
CoRoT-25 b,1,Transit,2013,4.86069000,12.110,1.080,85.81000,0.27000
CoRoT-26 b,1,Transit,2013,4.20474000,14.120,1.260,165.26000,0.52000
CoRoT-27 b,1,Transit,2014,3.57532000,11.287,1.007,3302.11000,10.39000
CoRoT-28 b,1,Transit,2015,5.20851000,10.705,0.955,153.82972,0.48400
CoRoT-29 b,1,Transit,2015,2.85057000,10.088,0.900,270.15550,0.85000
CoRoT-3 b,1,Transit,2008,4.25680000,11.320,1.010,6883.91000,21.66000
CoRoT-30 b,1,Transit,2020,9.06005000,11.310,1.009,921.70700,2.90000
CoRoT-31 b,1,Transit,2020,4.62941000,16.365,1.460,266.97720,0.84000
CoRoT-4 b,1,Transit,2008,9.20205000,13.340,1.190,228.83000,0.72000
CoRoT-5 b,1,Transit,2009,4.03789620,15.558,1.388,148.42000,0.46700
CoRoT-6 b,1,Transit,2009,8.88659300,13.068,1.166,940.74000,2.96000
CoRoT-7 b,1,Transit,2009,0.85359163,1.681,0.150,4.07661,0.01283
CoRoT-7 c,1,Radial Velocity,2009,3.69800000,,,8.40000,0.02643
CoRoT-8 b,1,Transit,2010,6.21229000,6.390,0.570,69.92000,0.22000
CoRoT-9 b,1,Transit,2009,95.27265600,11.949,1.066,266.97720,0.84000
CoRoTID 223977153 b,1,Transit,2017,6.71837000,6.389,0.570,47.67450,0.15000
DE CVn b,1,Eclipse Timing Variations,2018,4098.10000000,,,3823.27330,12.02930
DENIS-P J082303.1-491201 b,1,Astrometry,2013,246.36000000,,,9057.77000,28.50000
DH Tau b,1,Imaging,2004,,,,3496.00000,11.00000
DMPP-1 b,1,Radial Velocity,2019,18.57000000,,,24.27000,0.07636
DMPP-1 c,1,Radial Velocity,2019,6.58400000,,,9.60000,0.03020
DMPP-1 d,1,Radial Velocity,2019,2.88200000,,,3.35000,0.01054
DMPP-1 e,1,Radial Velocity,2019,5.51600000,,,4.13000,0.01299
DMPP-2 b,1,Radial Velocity,2019,5.20720000,,,138.89171,0.43700
DMPP-3 A b,1,Radial Velocity,2019,6.67320000,,,2.58000,0.00812
DP Leo b,1,Eclipse Timing Variations,2009,10220.00000000,,,1922.79000,6.05000
DS Tuc A b,1,Transit,2019,8.13826800,5.700,0.509,,
EPIC 201170410.02,1,Transit,2020,6.79870000,1.047,0.093,,
EPIC 201238110 b,1,Transit,2019,28.16560000,1.870,0.167,,
EPIC 201497682 b,1,Transit,2019,2.13174000,0.692,0.062,,
EPIC 201615463 c,1,Transit,2019,3.80464000,1.220,0.109,,
EPIC 201754305 d,1,Transit,2019,2.71578000,1.030,0.092,,
EPIC 201757695.02,1,Transit,2020,2.04780000,0.908,0.081,,
EPIC 201833600 c,1,Transit,2019,3.96151000,1.000,0.089,,
EPIC 201841433 b,1,Transit,2019,4.16980000,1.040,0.093,,
EPIC 205950854 c,1,Transit,2019,8.05072200,1.310,0.117,,
EPIC 206024342 b,1,Transit,2019,4.50756000,1.700,0.152,,
EPIC 206032309 b,1,Transit,2019,2.87814000,1.010,0.090,,
EPIC 206042996 b,1,Transit,2019,5.29711000,1.620,0.145,,
EPIC 206215704 b,1,Transit,2019,2.25372000,0.900,0.080,,
EPIC 206317286 b,1,Transit,2019,1.58252000,0.960,0.086,,
EPIC 211822797 b,1,Transit,2016,21.16986100,1.980,0.177,,
EPIC 211945201 b,1,Transit,2018,19.49221000,5.760,0.514,,
EPIC 212297394 b,1,Transit,2019,2.28943000,1.323,0.118,,
EPIC 212424622 b,1,Transit,2019,18.09830000,2.170,0.194,,
EPIC 212499991 b,1,Transit,2019,34.88500000,1.600,0.143,,
EPIC 212587672 b,1,Transit,2019,15.28410000,1.120,0.100,,
EPIC 212737443 b,1,Transit,2019,13.60300000,2.586,0.231,,
EPIC 212737443 c,1,Transit,2019,65.55000000,2.690,0.240,,
EPIC 220554210 c,1,Transit,2019,0.70531000,1.480,0.132,,
EPIC 220674823 b,1,Transit,2016,0.57133100,1.820,0.162,,
EPIC 220674823 c,1,Transit,2016,13.33907900,2.730,0.244,,
EPIC 246851721 b,1,Transit,2018,6.18023500,11.781,1.051,953.49000,3.00000
EPIC 248847494 b,1,Transit,2018,3650.00000000,12.442,1.110,4131.79000,13.00000
EPIC 249893012 b,1,Transit,2020,3.59510000,1.950,0.174,8.75000,0.02753
EPIC 249893012 c,1,Transit,2020,15.62400000,3.670,0.327,14.67000,0.04616
EPIC 249893012 d,1,Transit,2020,35.74700000,3.940,0.352,10.18000,0.03203
FU Tau b,1,Imaging,2008,,,,5085.28000,16.00000
G 9-40 b,1,Transit,2019,5.74600700,2.025,0.181,,
GJ 1061 b,1,Radial Velocity,2020,3.20400000,,,1.37000,0.00431
GJ 1061 c,1,Radial Velocity,2020,6.68900000,,,1.74000,0.00547
GJ 1061 d,1,Radial Velocity,2020,13.03100000,,,1.64000,0.00516
GJ 1132 b,1,Transit,2015,1.62893100,1.130,0.101,1.66000,0.00522
GJ 1132 c,1,Radial Velocity,2018,8.92900000,,,2.64000,0.00831
GJ 1148 b,1,Radial Velocity,2010,41.38000000,,,96.70000,0.30425
GJ 1148 c,1,Radial Velocity,2017,532.58000000,,,68.06000,0.21414
GJ 1151 b,1,Radial Velocity,2021,2.01800000,,,2.50000,0.00787
GJ 1214 b,1,Transit,2009,1.58040456,2.847,0.254,6.26125,0.01970
GJ 1252 b,1,Transit,2020,0.51823490,1.193,0.106,2.09000,0.00658
GJ 1265 b,1,Radial Velocity,2018,3.65110000,,,7.40000,0.02328
GJ 143 b,1,Transit,2019,35.61253000,2.610,0.233,22.70000,0.07142
GJ 15 A b,1,Radial Velocity,2014,11.44070000,,,3.03000,0.00953
GJ 15 A c,1,Radial Velocity,2018,7600.00000000,,,36.00000,0.11327
GJ 160.2 b,1,Radial Velocity,2014,5.23540000,,,10.20000,0.03209
GJ 163 b,1,Radial Velocity,2013,8.63182000,,,10.60000,0.03335
GJ 163 c,1,Radial Velocity,2013,25.63058000,,,6.80000,0.02140
GJ 163 d,1,Radial Velocity,2013,603.95116000,,,29.40000,0.09250
GJ 179 b,1,Radial Velocity,2009,2288.00000000,,,260.61000,0.82000
GJ 180 b,1,Radial Velocity,2014,17.13300000,,,6.49000,0.02042
GJ 180 c,1,Radial Velocity,2014,24.32900000,,,6.40000,0.02014
GJ 180 d,1,Radial Velocity,2020,106.30000000,,,7.56000,0.02379
GJ 2056 b,1,Radial Velocity,2020,69.97100000,,,16.20000,0.05097
GJ 229 A c,1,Radial Velocity,2020,121.99500000,,,7.26800,0.02287
GJ 229 b,1,Radial Velocity,2014,526.11500000,,,8.47800,0.02667
GJ 251 b,1,Radial Velocity,2020,14.23800000,,,4.00000,0.01259
GJ 27.1 b,1,Radial Velocity,2014,15.81900000,,,13.00000,0.04090
GJ 273 b,1,Radial Velocity,2017,18.64980000,,,2.89000,0.00909
GJ 273 c,1,Radial Velocity,2017,4.72340000,,,1.18000,0.00371
GJ 3021 b,1,Radial Velocity,2000,133.71000000,,,1071.04000,3.37000
GJ 3082 b,1,Radial Velocity,2020,11.94900000,,,8.20000,0.02580
GJ 3138 b,1,Radial Velocity,2017,1.22003000,,,1.78000,0.00560
GJ 3138 c,1,Radial Velocity,2017,5.97400000,,,4.18000,0.01315
GJ 3138 d,1,Radial Velocity,2017,257.80000000,,,10.50000,0.03304
GJ 317 b,1,Radial Velocity,2007,695.66000000,,,557.10000,1.75282
GJ 317 c,1,Radial Velocity,2018,6739.32300000,,,522.50000,1.64396
GJ 328 b,1,Radial Velocity,2013,4100.00000000,,,731.00000,2.30000
GJ 3293 b,1,Radial Velocity,2015,30.59870000,,,23.54000,0.07406
GJ 3293 c,1,Radial Velocity,2015,122.61960000,,,21.09000,0.06636
GJ 3293 d,1,Radial Velocity,2017,48.13450000,,,7.60000,0.02391
GJ 3293 e,1,Radial Velocity,2017,13.25430000,,,3.28000,0.01032
GJ 3323 b,1,Radial Velocity,2017,5.36360000,,,2.02000,0.00636
GJ 3323 c,1,Radial Velocity,2017,40.54000000,,,2.31000,0.00727
GJ 3341 b,1,Radial Velocity,2015,14.20700000,,,6.60000,0.02080
GJ 338 B b,1,Radial Velocity,2020,24.45000000,,,10.27000,0.03231
GJ 3470 b,1,Radial Velocity,2012,3.33664960,4.570,0.408,13.90000,0.04373
GJ 3473 b,1,Transit,2020,1.19800350,1.264,0.113,1.86000,0.00585
GJ 3473 c,1,Radial Velocity,2020,15.50900000,,,7.41000,0.02331
GJ 3512 b,1,Radial Velocity,2019,203.59000000,,,147.15529,0.46300
GJ 357 b,1,Transit,2019,3.93072000,1.217,0.109,1.84000,0.00579
GJ 357 c,1,Radial Velocity,2019,9.12470000,,,3.40000,0.01070
GJ 357 d,1,Radial Velocity,2019,55.66100000,,,6.10000,0.01919
GJ 3634 b,1,Radial Velocity,2010,2.64561000,,,8.40000,0.02600
GJ 3779 b,1,Radial Velocity,2018,3.02320000,,,8.00000,0.02517
GJ 3942 b,1,Radial Velocity,2017,6.90500000,,,7.14000,0.02246
GJ 3998 b,1,Radial Velocity,2016,2.64977000,,,2.47000,0.00777
GJ 3998 c,1,Radial Velocity,2016,13.74000000,,,6.26000,0.01970
GJ 411 b,1,Radial Velocity,2019,12.94600000,,,2.69000,0.00846
GJ 414 A b,1,Radial Velocity,2021,50.80000000,2.630,0.235,7.60000,0.02391
GJ 414 A c,1,Radial Velocity,2021,749.83000000,8.400,0.749,53.83000,0.16937
GJ 422 b,1,Radial Velocity,2014,20.12900000,,,11.07000,0.03483
GJ 4276 b,1,Radial Velocity,2019,13.35200000,,,16.57000,0.05213
GJ 433 b,1,Radial Velocity,2011,7.37050000,,,6.04300,0.01901
GJ 433 c,1,Radial Velocity,2014,5094.10500000,,,32.42200,0.10201
GJ 433 d,1,Radial Velocity,2020,36.05900000,,,5.22300,0.01643
GJ 436 b,1,Radial Velocity,2004,2.64388312,4.170,0.372,22.10000,0.07000
GJ 480 b,1,Radial Velocity,2020,9.56700000,,,13.20000,0.04153
GJ 486 b,1,Radial Velocity,2021,1.46711900,1.305,0.116,2.82000,0.00887
GJ 504 b,1,Imaging,2013,,,,1271.30000,4.00000
GJ 536 b,1,Radial Velocity,2016,8.70760000,,,5.36000,0.01686
GJ 581 b,1,Radial Velocity,2005,5.36860000,,,15.80000,0.04970
GJ 581 c,1,Radial Velocity,2007,12.91400000,,,5.50000,0.01730
GJ 581 e,1,Radial Velocity,2009,3.14900000,,,1.70000,0.00530
GJ 625 b,1,Radial Velocity,2017,14.62800000,,,2.82000,0.00887
GJ 649 b,1,Radial Velocity,2009,598.30000000,,,104.24400,0.32800
GJ 667 C b,1,Radial Velocity,2011,7.20040000,,,5.60000,0.01800
GJ 667 C c,1,Radial Velocity,2011,28.14000000,,,3.80000,0.01200
GJ 667 C e,1,Radial Velocity,2013,62.24000000,,,2.70000,0.00800
GJ 667 C f,1,Radial Velocity,2013,39.02600000,,,2.70000,0.00800
GJ 667 C g,1,Radial Velocity,2013,256.20000000,,,4.60000,0.01400
GJ 674 b,1,Radial Velocity,2007,4.69380000,,,11.09000,0.03500
GJ 676 A b,1,Radial Velocity,2010,1056.80005000,,,1576.43680,4.96000
GJ 676 A c,1,Radial Velocity,2016,7337.00000000,,,2161.24400,6.80000
GJ 676 A d,1,Radial Velocity,2012,3.60050000,,,4.40000,0.01400
GJ 676 A e,1,Radial Velocity,2012,35.39000000,,,8.10000,0.02500
GJ 682 b,1,Radial Velocity,2014,17.47800000,,,4.40000,0.01384
GJ 682 c,1,Radial Velocity,2014,57.32000000,,,8.70000,0.02737
GJ 685 b,1,Radial Velocity,2019,24.16000000,,,9.00000,0.02832
GJ 687 b,1,Radial Velocity,2014,38.14200000,,,17.20000,0.05412
GJ 687 c,1,Radial Velocity,2020,727.56200000,,,16.00000,0.05034
GJ 740 b,1,Radial Velocity,2021,2.37756000,,,2.96000,0.00931
GJ 832 b,1,Radial Velocity,2008,3657.00000000,,,216.00000,0.68000
GJ 832 c,1,Radial Velocity,2014,35.68000000,,,5.40000,0.01700
GJ 849 b,1,Radial Velocity,2006,1882.00000000,,,317.83000,1.00000
GJ 86 b,1,Radial Velocity,1999,15.76491000,,,1404.80860,4.42000
GJ 876 b,1,Radial Velocity,1998,61.11660000,,,723.22350,2.27560
GJ 876 c,1,Radial Velocity,2000,30.08810000,,,226.98460,0.71420
GJ 876 d,1,Radial Velocity,2005,1.93778000,,,6.83000,0.02100
GJ 876 e,1,Radial Velocity,2010,124.26000000,,,14.60000,0.04600
GJ 887 b,1,Radial Velocity,2020,9.26200000,,,4.20000,0.01321
GJ 887 c,1,Radial Velocity,2020,21.78900000,,,7.60000,0.02391
GJ 9066 b,1,Radial Velocity,2020,241.88300000,,,30.90000,0.09722
GJ 9066 c,1,Radial Velocity,2020,767.88700000,,,71.60000,0.22528
GJ 96 b,1,Radial Velocity,2018,73.94000000,,,19.66000,0.06186
GJ 9827 b,1,Transit,2017,1.20898190,1.577,0.141,4.91000,0.01545
GJ 9827 c,1,Transit,2017,3.64809570,1.241,0.111,0.84000,0.00264
GJ 9827 d,1,Transit,2017,6.20146980,2.022,0.180,4.04000,0.01271
GQ Lup b,1,Imaging,2004,,33.600,3.000,6356.00000,20.00000
GSC 06214-00210 b,1,Imaging,2010,,,,4258.70000,13.50000
GU Psc b,1,Imaging,2014,,14.179,1.265,3591.30000,11.30000
Gl 378 b,1,Radial Velocity,2019,3.82200000,,,13.02000,0.04097
Gl 49 b,1,Radial Velocity,2019,13.85080000,,,5.63000,0.01771
Gl 686 b,1,Radial Velocity,2018,15.53000000,,,6.62400,0.02084
HAT-P-1 b,1,Transit,2006,4.46529976,14.785,1.319,166.86075,0.52500
HAT-P-11 b,1,Transit,2008,4.88780244,4.360,0.389,23.40000,0.07362
HAT-P-11 c,1,Radial Velocity,2018,3407.00000000,,,507.00000,1.59519
HAT-P-12 b,1,Transit,2009,3.21305980,10.749,0.959,67.05900,0.21100
HAT-P-13 b,1,Transit,2009,2.91625000,14.258,1.272,270.46200,0.85100
HAT-P-13 c,1,Radial Velocity,2009,446.27000000,,,4538.42100,14.28000
HAT-P-14 b,1,Transit,2010,4.62767000,15.917,1.420,1093.33520,3.44000
HAT-P-15 b,1,Transit,2010,10.86350000,11.882,1.060,616.59020,1.94000
HAT-P-16 b,1,Transit,2010,2.77596000,14.448,1.289,1332.60500,4.19300
HAT-P-17 b,1,Transit,2010,10.33852000,11.769,1.050,184.34140,0.58000
HAT-P-17 c,1,Radial Velocity,2010,5584.00000000,,,1080.60000,3.40000
HAT-P-18 b,1,Transit,2010,5.50802300,11.153,0.995,62.61000,0.19700
HAT-P-19 b,1,Transit,2010,4.00877800,12.689,1.132,92.80200,0.29200
HAT-P-2 b,1,Transit,2007,5.63351580,,,2739.69460,8.62000
HAT-P-20 b,1,Transit,2010,2.87531700,9.718,0.867,2302.89900,7.24600
HAT-P-21 b,1,Transit,2010,4.12448000,12.442,1.110,1547.83210,4.87000
HAT-P-22 b,1,Transit,2010,3.21222000,12.890,1.150,785.04010,2.47000
HAT-P-23 b,1,Transit,2010,1.21288000,12.218,1.090,425.89220,1.34000
HAT-P-24 b,1,Transit,2010,3.35524000,14.572,1.300,238.37250,0.75000
HAT-P-25 b,1,Transit,2010,3.65281514,12.722,1.135,180.84527,0.56900
HAT-P-26 b,1,Transit,2010,4.23452000,7.062,0.630,22.24810,0.07000
HAT-P-27 b,1,Transit,2011,3.03957700,11.430,1.020,197.05000,0.62000
HAT-P-28 b,1,Transit,2011,3.25721500,13.585,1.212,198.95300,0.62600
HAT-P-29 b,1,Transit,2011,5.72319000,13.115,1.170,279.69040,0.88000
HAT-P-3 b,1,Transit,2007,2.89970000,10.536,0.940,206.58950,0.65000
HAT-P-30 b,1,Transit,2011,2.81060000,16.141,1.440,263.79890,0.83000
HAT-P-31 b,1,Transit,2011,5.00542000,12.218,1.090,721.47410,2.27000
HAT-P-32 b,1,Transit,2011,2.15000820,22.194,1.980,216.12440,0.68000
HAT-P-33 b,1,Transit,2011,3.47447000,20.737,1.850,292.40360,0.92000
HAT-P-34 b,1,Transit,2011,5.45265400,13.417,1.197,1058.37390,3.33000
HAT-P-35 b,1,Transit,2011,3.64670600,14.930,1.332,335.62848,1.05600
HAT-P-36 b,1,Transit,2011,1.32734683,14.314,1.277,587.41341,1.84820
HAT-P-37 b,1,Transit,2011,2.79743600,13.204,1.178,371.52800,1.16900
HAT-P-38 b,1,Transit,2012,4.64038200,9.247,0.825,84.85700,0.26700
HAT-P-39 b,1,Transit,2012,3.54387000,17.609,1.571,190.37200,0.59900
HAT-P-4 b,1,Transit,2007,3.05653600,14.280,1.274,213.25500,0.67100
HAT-P-40 b,1,Transit,2012,4.45724000,17.038,1.520,152.55840,0.48000
HAT-P-41 b,1,Transit,2012,2.69405000,22.978,2.050,378.21770,1.19000
HAT-P-42 b,1,Transit,2012,4.64187800,14.348,1.280,331.80100,1.04400
HAT-P-43 b,1,Transit,2012,3.33268700,14.359,1.281,210.39500,0.66200
HAT-P-44 b,1,Transit,2014,4.30121900,13.922,1.242,111.87100,0.35200
HAT-P-44 c,1,Radial Velocity,2014,872.20000000,,,1271.30000,4.00000
HAT-P-45 b,1,Transit,2014,3.12899200,15.984,1.426,283.49200,0.89200
HAT-P-46 b,1,Transit,2014,4.46312900,14.392,1.284,156.68400,0.49300
HAT-P-49 b,1,Transit,2014,2.69155000,17.822,1.590,699.22600,2.20000
HAT-P-5 b,1,Transit,2007,2.78849000,13.563,1.210,311.47340,0.98000
HAT-P-50 b,1,Transit,2015,3.12201090,14.437,1.288,429.07050,1.35000
HAT-P-51 b,1,Transit,2015,4.21802780,14.493,1.293,98.20947,0.30900
HAT-P-52 b,1,Transit,2015,2.75359530,11.310,1.009,259.98494,0.81800
HAT-P-53 b,1,Transit,2015,1.96162410,14.773,1.318,471.65972,1.48400
HAT-P-54 b,1,Transit,2015,3.79984700,10.581,0.944,241.55080,0.76000
HAT-P-55 b,1,Transit,2015,3.58524670,13.249,1.182,184.97706,0.58200
HAT-P-56 b,1,Transit,2015,2.79083000,16.926,1.510,734.18730,2.31000
HAT-P-57 b,1,Transit,2015,2.46530000,19.504,1.740,448.14030,1.41000
HAT-P-6 b,1,Transit,2007,3.85298000,16.589,1.480,419.53560,1.32000
HAT-P-65 b,1,Transit,2016,2.60545520,21.185,1.890,167.49641,0.52700
HAT-P-66 b,1,Transit,2016,2.97208600,17.822,1.590,248.86089,0.78300
HAT-P-67 b,1,Transit,2017,4.81010250,23.371,2.085,108.06220,0.34000
HAT-P-68 b,1,Transit,2020,2.29840551,12.016,1.072,230.10892,0.72400
HAT-P-69 b,1,Transit,2019,4.78694910,18.786,1.676,1137.83140,3.58000
HAT-P-7 b,1,Transit,2008,2.20474000,16.926,1.510,584.80720,1.84000
HAT-P-70 b,1,Transit,2019,2.74432452,20.961,1.870,2154.88740,6.78000
